item_id,category_id
489517,22
489518,0
489519,15
489520,33
489521,13
489522,25
489523,50
489524,16
489525,6
489526,28
489527,26
489528,26
489529,19
489530,46
489531,11
489532,26
489533,39
489534,23
489535,32
489536,46
489537,43
489538,15
489539,26
489540,29
489541,45
489542,34
489543,43
489544,10
489545,52
489546,29
489547,19
489548,40
489549,50
489550,41
489551,7
489552,3
489553,13
489554,11
489555,19
489556,41
489557,3
489558,15
489559,11
489560,20
489561,9
489562,45
489563,51
489564,34
489565,36
489566,2
489567,3
489568,13
489569,38
489570,23
489571,19
489572,46
489573,10
489574,10
489575,7
489576,3
489577,53
489578,31
489579,49
489580,33
489581,6
489582,1
489583,18
489584,10
489585,24
489586,41
489587,43
489588,36
489589,38
489590,52
489591,19
489592,33
489593,33
489594,17
489595,18
489596,28
489597,39
489598,52
489599,47
489600,2
489601,40
489602,0
489603,23
489604,11
489605,7
489606,20
489607,47
489608,43
489609,13
489610,6
489611,30
489612,33
489613,23
489614,20
489615,37
489616,32
489617,7
489618,0
489619,16
489620,50
489621,37
489622,39
489623,48
489624,50
489625,14
489626,26
489627,39
489628,47
489629,28
489630,13
489631,32
489632,34
489633,19
489634,0
489635,6
489636,4
489637,17
489638,4
489639,18
489640,25
489641,32
489642,12
489643,24
489644,40
489645,21
489646,41
489647,48
489648,23
489649,41
489650,25
489651,33
489652,3
489653,25
489654,31
489655,12
489656,27
489657,35
489658,39
489659,4
489660,35
489661,26
489662,50
489663,31
489664,49
489665,51
489666,49
489667,45
489668,21
489669,5
489670,18
489671,22
489672,25
489673,44
489674,29
489675,11
489676,15
489677,11
489678,10
489679,22
489680,7
489681,43
489682,30
489683,18
489684,10
489685,6
489686,39
489687,26
489688,40
489689,13
489690,39
489691,23
489692,21
489693,23
489694,45
489695,5
489696,48
489697,46
489698,15
489699,3
489700,0
489701,38
489702,15
489703,2
489704,27
489705,35
489706,16
489707,51
489708,44
489709,13
489710,10
489711,27
489712,29
489713,33
489714,9
489715,2
489716,1
489717,41
489718,40
489719,39
489720,13
489721,19
489722,33
489723,16
489724,5
489725,17
489726,12
489727,20
489728,11
489729,50
489730,9
489731,23
489732,3
489733,33
489734,19
489735,43
489736,18
489737,45
489738,12
489739,15
489740,46
489741,15
489742,10
489743,25
489744,45
489745,42
489746,50
489747,43
489748,35
489749,5
489750,49
489751,3
489752,20
489753,36
489754,36
489755,17
489756,20
489757,8
489758,38
489759,45
489760,9
489761,6
489762,0
489763,6
489764,41
489765,25
489766,12
489767,31
489768,44
489769,38
489770,5
489771,3
489772,48
489773,48
489774,41
489775,42
489776,45
489777,8
489778,49
489779,46
489780,47
489781,52
489782,50
489783,38
489784,15
489785,20
489786,47
489787,12
489788,1
489789,3
489790,13
489791,40
489792,19
489793,23
489794,14
489795,48
489796,28
489797,33
489798,15
489799,50
489800,17
489801,48
489802,25
489803,4
489804,46
489805,17
489806,8
489807,4
489808,28
489809,17
489810,36
489811,8
489812,34
489813,47
489814,6
489815,34
489816,52
489817,11
489818,36
489819,28
489820,49
489821,23
489822,33
489823,23
489824,41
489825,19
489826,18
489827,23
489828,13
489829,43
489830,1
489831,11
489832,43
489833,6
489834,10
489835,45
489836,28
489837,20
489838,2
489839,15
489840,50
489841,9
489842,6
489843,30
489844,26
489845,2
489846,48
489847,46
489848,16
489849,45
489850,7
489851,48
489852,30
489853,14
489854,31
489855,17
489856,26
489857,23
489858,2
489859,36
489860,45
489861,29
489862,6
489863,0
489864,36
489865,17
489866,11
489867,16
489868,22
489869,34
489870,48
489871,11
489872,24
489873,23
489874,5
489875,2
489876,32
489877,50
489878,49
489879,42
489880,24
489881,14
489882,3
489883,39
489884,6
489885,18
489886,52
489887,26
489888,1
489889,51
489890,8
489891,26
489892,11
489893,10
489894,40
489895,24
489896,14
489897,18
489898,22
489899,46
489900,38
489901,6
489902,42
489903,51
489904,53
489905,7
489906,12
489907,44
489908,40
489909,45
489910,39
489911,22
489912,3
489913,38
489914,25
489915,46
489916,23
489917,14
489918,28
489919,15
489920,1
489921,32
489922,6
489923,47
489924,0
489925,28
489926,13
489927,32
489928,20
489929,27
489930,9
489931,29
489932,40
489933,41
489934,8
489935,9
489936,33
489937,40
489938,8
489939,24
489940,47
489941,22
489942,5
489943,19
489944,53
489945,43
489946,50
489947,3
489948,31
489949,22
489950,30
489951,6
489952,25
489953,28
489954,49
489955,46
489956,5
489957,18
489958,42
489959,24
489960,17
489961,2
489962,11
489963,33
489964,4
489965,22
489966,1
489967,28
489968,4
489969,34
489970,8
489971,20
489972,9
489973,50
489974,11
489975,48
489976,18
489977,31
489978,8
489979,19
489980,12
489981,26
489982,23
489983,36
489984,44
489985,12
489986,13
489987,51
489988,51
489989,50
489990,13
489991,34
489992,41
489993,16
489994,9
489995,6
489996,48
489997,34
489998,3
489999,9
490000,33
490001,21
490002,19
490003,8
490004,53
490005,20
490006,25
490007,28
490008,3
490009,33
490010,1
490011,9
490012,37
490013,51
490014,26
490015,7
490016,17
490017,45
490018,38
490019,31
490020,47
490021,50
490022,0
490023,50
490024,47
490025,48
490026,39
490027,15
490028,29
490029,43
490030,10
490031,20
490032,16
490033,41
490034,23
490035,37
490036,13
490037,51
490038,21
490039,31
490040,3
490041,17
490042,38
490043,49
490044,12
490045,35
490046,49
490047,18
490048,43
490049,44
490050,3
490051,39
490052,44
490053,29
490054,7
490055,5
490056,44
490057,5
490058,3
490059,17
490060,48
490061,23
490062,32
490063,1
